peil_datum_tijd,value,interpolated,origin
2025-04-13,0.12302272727272728,False,"diver,diver_validated"
2025-04-14,0.05682222222222222,False,"diver,diver_validated"
2025-04-15,0.1880487804878049,False,"diver,diver_validated"
2025-04-16,0.06876190476190476,False,"diver,diver_validated"
2025-04-17,0.0455,False,"diver,diver_validated"
2025-04-18,0.06543589743589744,False,"diver,diver_validated"
2025-04-19,0.0865952380952381,False,"diver,diver_validated"
2025-04-20,0.06593181818181819,False,"diver,diver_validated"
2025-04-21,0.040933333333333335,False,"diver,diver_validated"
2025-04-22,0.025930232558139536,False,"diver,diver_validated"
2025-04-23,0.07334146341463416,False,"diver,diver_validated"
2025-04-24,0.056357142857142856,False,"diver,diver_validated"
2025-04-25,0.011093023255813956,False,"diver,diver_validated"
2025-04-26,-0.004866666666666666,False,"diver,diver_validated"
2025-04-27,-0.025717948717948722,False,"diver,diver_validated"
2025-04-28,-0.034911111111111115,False,"diver,diver_validated"
2025-04-29,-0.0007027027027027034,False,"diver,diver_validated"
2025-04-30,0.03378048780487805,False,"diver,diver_validated"
2025-05-01,0.060682926829268305,False,"diver,diver_validated"
2025-05-02,0.09095555555555555,False,"diver,diver_validated"
2025-05-03,0.08358139534883721,False,"diver,diver_validated"
2025-05-04,0.09379545454545454,False,"diver,diver_validated"
2025-05-05,0.06153488372093023,False,"diver,diver_validated"
2025-05-06,0.002097560975609759,False,"diver,diver_validated"
2025-05-07,-0.022844444444444445,False,"diver,diver_validated"
2025-05-08,-0.012043478260869562,False,"diver,diver_validated"
2025-05-09,-0.03043181818181818,False,"diver,diver_validated"
2025-05-10,-0.039872340425531914,False,"diver,diver_validated"
2025-05-11,-0.0005999999999999963,False,"diver,diver_validated"
2025-05-12,0.012148936170212765,False,"diver,diver_validated"
2025-05-13,-0.011957446808510635,False,"diver,diver_validated"
2025-05-14,-0.0016249999999999995,False,"diver,diver_validated"
2025-05-15,0.02813333333333334,False,"diver,diver_validated"
2025-05-16,0.041063829787234045,False,"diver,diver_validated"
2025-05-17,0.062,False,"diver,diver_validated"
2025-05-18,0.09280000000000001,False,"diver,diver_validated"
2025-05-19,0.02110416666666667,False,"diver,diver_validated"
2025-05-20,0.013062500000000003,False,"diver,diver_validated"
2025-05-21,0.04119148936170214,False,"diver,diver_validated"
2025-05-22,0.06359574468085107,False,"diver,diver_validated"
2025-05-23,0.08806976744186046,False,"diver,diver_validated"
2025-05-24,0.11347826086956524,False,"diver,diver_validated"
2025-05-25,0.12028260869565219,False,"diver,diver_validated"
2025-05-26,0.08706521739130435,False,"diver,diver_validated"
2025-05-27,0.13951063829787236,False,"diver,diver_validated"
2025-05-28,0.14559574468085107,False,"diver,diver_validated"
2025-05-29,0.09189361702127662,False,"diver,diver_validated"
2025-05-30,0.08631914893617022,False,"diver,diver_validated"
2025-05-31,0.05695555555555556,False,"diver,diver_validated"
2025-06-01,0.08356521739130435,False,"diver,diver_validated"
2025-06-02,0.061000000000000006,False,"diver,diver_validated"
2025-06-03,0.07130434782608697,False,"diver,diver_validated"
2025-06-04,0.12734782608695652,False,"diver,diver_validated"
2025-06-05,0.12791111111111111,False,"diver,diver_validated"
2025-06-06,0.15653658536585366,False,"diver,diver_validated"
2025-06-07,0.15344444444444444,False,"diver,diver_validated"
2025-06-08,0.16220454545454546,False,"diver,diver_validated"
2025-06-09,0.07348780487804879,False,"diver,diver_validated"
2025-06-10,0.14693478260869566,False,"diver,diver_validated"
2025-06-11,0.051347826086956525,False,"diver,diver_validated"
2025-06-12,0.07291666666666667,False,"diver,diver_validated"
2025-06-13,0.01206521739130435,False,"diver,diver_validated"
2025-06-14,0.039488372093023257,False,"diver,diver_validated"
2025-06-15,0.026659574468085107,False,"diver,diver_validated"
2025-06-16,0.029866666666666673,False,"diver,diver_validated"
2025-06-17,0.03232608695652174,False,"diver,diver_validated"
2025-06-18,0.035340425531914896,False,"diver,diver_validated"
2025-06-19,0.00932608695652174,False,"diver,diver_validated"
2025-06-20,-0.021916666666666668,False,"diver,diver_validated"
2025-06-21,-0.01604255319148936,False,"diver,diver_validated"
2025-06-22,0.02458695652173913,False,"diver,diver_validated"
2025-06-23,0.08421739130434783,False,"diver,diver_validated"
2025-06-24,0.12095744680851064,False,"diver,diver_validated"
2025-06-25,0.15035416666666668,False,"diver,diver_validated"
2025-06-26,0.12721276595744682,False,"diver,diver_validated"
2025-06-27,0.05342553191489362,False,"diver,diver_validated"
2025-06-28,0.07602222222222223,False,"diver,diver_validated"
2025-06-29,0.09108695652173913,False,"diver,diver_validated"
2025-06-30,0.08612500000000001,False,"diver,diver_validated"
2025-07-01,0.10660416666666668,False,"diver,diver_validated"
2025-07-02,0.06536170212765957,False,"diver,diver_validated"
2025-07-03,0.006312500000000001,False,"diver,diver_validated"
2025-07-04,-0.003191489361702124,False,"diver,diver_validated"
2025-07-05,0.07748936170212767,False,"diver,diver_validated"
2025-07-06,0.1300232558139535,False,"diver,diver_validated"
2025-07-07,0.17518750000000002,False,"diver,diver_validated"
2025-07-08,0.11046808510638298,False,"diver,diver_validated"
2025-07-09,0.08042222222222223,False,"diver,diver_validated"
2025-07-10,0.06087234042553192,False,"diver,diver_validated"
2025-07-11,0.0524,False,"diver,diver_validated"
2025-07-12,0.07672916666666667,False,"diver,diver_validated"
2025-07-13,0.08785416666666668,False,"diver,diver_validated"
2025-07-14,0.07844444444444446,False,"diver,diver_validated"
2025-07-15,0.05555172413793103,False,"diver,diver_validated,hand"
2025-07-16,0.014375000000000002,False,diver
2025-07-17,0.004444444444444444,False,diver
2025-07-18,-0.06764705882352941,False,diver
2025-07-19,-0.05,False,diver
