date,tube_nr
GMW000000035703001,1
GMW000000035704001,1
GMW000000035705001,1
GMW000000035706001,1
GMW000000035707001,1
GMW000000035708001,1
GMW000000035709001,1
GMW000000035710001,1
GMW000000035711001,1
GMW000000035712001,1
GMW000000035713001,1
GMW000000035714001,1
GMW000000035715001,1
GMW000000035716001,1
GMW000000035717001,1
GMW000000035718001,1
GMW000000035719001,1
GMW000000035720001,1
GMW000000035721001,1
GMW000000035722001,1
GMW000000035723001,1
GMW000000035724001,1
GMW000000035725001,1
GMW000000035726001,1
GMW000000035727001,1
GMW000000035728001,1
GMW000000035729001,1
GMW000000035730001,1
GMW000000035731001,1
GMW000000035732001,1
GMW000000035733001,1
GMW000000035734001,1
GMW000000035735001,1
GMW000000035736001,1
GMW000000035737001,1
GMW000000035738001,1
GMW000000035739001,1
GMW000000035740001,1
GMW000000035741001,1
GMW000000035742001,1
GMW000000035743001,1
GMW000000035744001,1
GMW000000035745001,1
GMW000000035746001,1
GMW000000035747001,1
GMW000000035748001,1
GMW000000035749001,1
GMW000000035750001,1
GMW000000035751001,1
GMW000000035752001,1
GMW000000035753001,1
GMW000000035754001,1
GMW000000035755001,1
GMW000000035756001,1
GMW000000035757001,1
GMW000000035758001,1
GMW000000035759001,1
GMW000000035760001,1
GMW000000035761001,1
GMW000000035762001,1
GMW000000035763001,1
GMW000000035764001,1
GMW000000035765001,1
GMW000000035766001,1
GMW000000035767001,1
GMW000000035768001,1
GMW000000035769001,1
GMW000000035770001,1
GMW000000035771001,1
GMW000000035772001,1
GMW000000035773001,1
GMW000000035774001,1
GMW000000035775001,1
GMW000000035776001,1
GMW000000035777001,1
GMW000000035778001,1
GMW000000035779001,1
GMW000000035780001,1
GMW000000035781001,1
GMW000000035782001,1
GMW000000035783001,1
GMW000000035784001,1
GMW000000035785001,1
GMW000000035786001,1
GMW000000035787001,1
GMW000000035788001,1
GMW000000035789001,1
GMW000000035790001,1
GMW000000035791001,1
GMW000000035792001,1
GMW000000035793001,1
GMW000000035794001,1
GMW000000035795001,1
GMW000000035796001,1
GMW000000035797001,1
GMW000000035798001,1
GMW000000035799001,1
GMW000000035800001,1
GMW000000035801001,1
GMW000000035802001,1
GMW000000035803001,1
GMW000000035804001,1
GMW000000035805001,1
GMW000000035806001,1
GMW000000035807001,1
GMW000000035808001,1
GMW000000035809001,1
GMW000000035810001,1
GMW000000035811001,1
GMW000000035812001,1
GMW000000035813001,1
GMW000000035814001,1
GMW000000035815001,1
GMW000000035816001,1
GMW000000035817001,1
GMW000000035818001,1
GMW000000035819001,1
GMW000000035820001,1
GMW000000035821001,1
GMW000000035822001,1
GMW000000035823001,1
GMW000000035824001,1
GMW000000035825001,1
GMW000000035826001,1
GMW000000035827001,1
GMW000000035828001,1
GMW000000035829001,1
GMW000000035830001,1
GMW000000035831001,1
GMW000000035832001,1
GMW000000035833001,1
GMW000000035834001,1
GMW000000035835001,1
GMW000000035836001,1
GMW000000035837001,1
GMW000000035838001,1
GMW000000035839001,1
GMW000000035840001,1
GMW000000035841001,1
GMW000000035842001,1
GMW000000035843001,1
GMW000000035844001,1
GMW000000035845001,1
GMW000000035846001,1
GMW000000035847001,1
GMW000000035848001,1
GMW000000035849001,1
GMW000000035850001,1
GMW000000035851001,1
GMW000000035852001,1
GMW000000035853001,1
GMW000000035854001,1
GMW000000035855001,1
GMW000000035856001,1
GMW000000035857001,1
GMW000000035858001,1
GMW000000035859001,1
GMW000000035860001,1
GMW000000035861001,1
GMW000000035862001,1
GMW000000035863001,1
GMW000000035864001,1
GMW000000035865001,1
GMW000000035866001,1
GMW000000035867001,1
GMW000000035868001,1
GMW000000035869001,1
GMW000000035870001,1
GMW000000035871001,1
GMW000000035872001,1
GMW000000035873001,1
GMW000000035874001,1
GMW000000035875001,1
GMW000000035876001,1
GMW000000035877001,1
GMW000000035878001,1
GMW000000035879001,1
GMW000000035880001,1
GMW000000035881001,1
GMW000000035882001,1
GMW000000035883001,1
GMW000000035884001,1
GMW000000035885001,1
GMW000000035886001,1
GMW000000035887001,1
GMW000000035888001,1
GMW000000035889001,1
GMW000000035890001,1
GMW000000035891001,1
GMW000000035892001,1
GMW000000035893001,1
GMW000000035894001,1
GMW000000035895001,1
GMW000000035896001,1
GMW000000035897001,1
GMW000000035898001,1
GMW000000035899001,1
GMW000000035900001,1
GMW000000035901001,1
GMW000000035902001,1
GMW000000035903001,1
GMW000000035904001,1
GMW000000035905001,1
GMW000000035906001,1
GMW000000035907001,1
GMW000000035908001,1
GMW000000035909001,1
GMW000000035910001,1
GMW000000035911001,1
GMW000000035912001,1
GMW000000035913001,1
GMW000000035914001,1
GMW000000035915001,1
GMW000000035916001,1
GMW000000035917001,1
GMW000000035918001,1
GMW000000035919001,1
GMW000000035920001,1
GMW000000035921001,1
GMW000000035922001,1
GMW000000035923001,1
GMW000000035924001,1
GMW000000035925001,1
GMW000000035926001,1
GMW000000035927001,1
GMW000000035928001,1
GMW000000035929001,1
GMW000000035930001,1
GMW000000035931001,1
GMW000000035932001,1
GMW000000035933001,1
GMW000000035934001,1
GMW000000035935001,1
GMW000000035936001,1
GMW000000035937001,1
GMW000000035938001,1
GMW000000035939001,1
GMW000000035940001,1
GMW000000035941001,1
GMW000000035942001,1
GMW000000035943001,1
GMW000000035944001,1
GMW000000035945001,1
GMW000000035946001,1
GMW000000035947001,1
GMW000000035948001,1
GMW000000035949001,1
GMW000000035950001,1
GMW000000035951001,1
GMW000000035952001,1
GMW000000035953001,1
GMW000000035954001,1
GMW000000035955001,1
GMW000000035956001,1
GMW000000035957001,1
GMW000000035958001,1
GMW000000035959001,1
GMW000000035960001,1
GMW000000035961001,1
GMW000000035962001,1
GMW000000035963001,1
GMW000000035964001,1
GMW000000035965001,1
GMW000000035966001,1
GMW000000035967001,1
GMW000000035968001,1
GMW000000035969001,1
GMW000000035970001,1
GMW000000035971001,1
GMW000000035972001,1
GMW000000035973001,1
GMW000000035974001,1
GMW000000035975001,1
GMW000000035976001,1
GMW000000035977001,1
GMW000000035978001,1
GMW000000035979001,1
GMW000000035980001,1
GMW000000035981001,1
GMW000000035982001,1
GMW000000035983001,1
GMW000000035984001,1
GMW000000035985001,1
GMW000000035986001,1
GMW000000035987001,1
GMW000000035988001,1
GMW000000035989001,1
GMW000000035990001,1
GMW000000035991001,1
GMW000000035992001,1
GMW000000035993001,1
GMW000000035994001,1
GMW000000035995001,1
GMW000000035996001,1
GMW000000035997001,1
GMW000000035998001,1
GMW000000035999001,1
GMW000000036000001,1
GMW000000036001001,1
GMW000000036002001,1
GMW000000036003001,1
GMW000000036004001,1
GMW000000036005001,1
GMW000000036006001,1
GMW000000036007001,1
GMW000000036008001,1
GMW000000036009001,1
GMW000000036010001,1
GMW000000036011001,1
GMW000000036012001,1
GMW000000036013001,1
GMW000000036014001,1
GMW000000036015001,1
GMW000000036016001,1
GMW000000036017001,1
GMW000000036018001,1
GMW000000036019001,1
GMW000000036020001,1
GMW000000036021001,1
GMW000000036022001,1
GMW000000036023001,1
GMW000000036024001,1
GMW000000036025001,1
GMW000000036026001,1
GMW000000036027001,1
GMW000000036028001,1
GMW000000036029001,1
GMW000000036030001,1
GMW000000036031001,1
GMW000000036032001,1
GMW000000036033001,1
GMW000000036034001,1
GMW000000036035001,1
GMW000000036036001,1
GMW000000036037001,1
GMW000000036038001,1
GMW000000036039001,1
GMW000000036040001,1
GMW000000036041001,1
GMW000000036042001,1
GMW000000036043001,1
GMW000000036044001,1
GMW000000036045001,1
GMW000000036046001,1
GMW000000036047001,1
GMW000000036048001,1
GMW000000036049001,1
GMW000000036050001,1
GMW000000036051001,1
GMW000000036052001,1
GMW000000036053001,1
GMW000000036054001,1
GMW000000036055001,1
GMW000000036056001,1
GMW000000036057001,1
GMW000000036058001,1
GMW000000036059001,1
GMW000000036060001,1
GMW000000036061001,1
GMW000000036071001,1
GMW000000036072001,1
GMW000000036073001,1
GMW000000036074001,1
GMW000000036075001,1
GMW000000036076001,1
GMW000000036077001,1
GMW000000036078001,1
GMW000000036079001,1
GMW000000036080001,1
GMW000000036081001,1
GMW000000036082001,1
GMW000000036083001,1
GMW000000036084001,1
GMW000000036085001,1
GMW000000036086001,1
GMW000000036087001,1
GMW000000036088001,1
GMW000000036089001,1
GMW000000036090001,1
GMW000000036091001,1
GMW000000036092001,1
GMW000000036093001,1
GMW000000036094001,1
GMW000000036095001,1
GMW000000036096001,1
GMW000000036097001,1
GMW000000036098001,1
GMW000000036099001,1
GMW000000036100001,1
GMW000000036101001,1
GMW000000036102001,1
